  Max Value: 1.659708, Column: SRR7755449  Second Max Value: 0.611881, Column: ERR2077449
  Max Value: 4.821476, Column: ERR2074080  Second Max Value: 4.491608, Column: ERR2076273
  Max Value: 1.212574, Column: SRR5810020  Second Max Value: 0.577400, Column: ERR2075512
  Max Value: 1.682454, Column: SRR5810022  Second Max Value: 0.467785, Column: SRR12247888
  Max Value: 1.960160, Column: SRR8258959  Second Max Value: 0.088573, Column: SRR13108335
  Max Value: 2.159755, Column: SRR8258959  Second Max Value: 1.452102, Column: SRR7755449
  Max Value: 1.827437, Column: SRR14788775  Second Max Value: 1.394567, Column: SRR14788780
  Max Value: 1.638490, Column: SRR14788775  Second Max Value: 1.465837, Column: SRR14788780
  Max Value: 1.208426, Column: SRR109010  Second Max Value: 0.936507, Column: ERR2077449
  Max Value: 5.864473, Column: SRR9695022  Second Max Value: 0.529747, Column: SRR9695020
  Max Value: 7.206303, Column: SRR9695022  Second Max Value: 1.139256, Column: SRR9695021
  Max Value: 1.238268, Column: SRR9695022  Second Max Value: 0.039586, Column: SRR9695020
  Max Value: 1.753518, Column: SRR9695020  Second Max Value: 1.097228, Column: SRR9695021
  Max Value: 1.358348, Column: SRR9695021  Second Max Value: 0.000000, Column: ERR2074043
  Max Value: 2.260492, Column: SRR9695021  Second Max Value: 0.904959, Column: SRR9695022
  Max Value: 8.474360, Column: SRR9695021  Second Max Value: 5.484732, Column: SRR9695022
  Max Value: 2.659696, Column: SRR9695022  Second Max Value: 0.642049, Column: SRR9695020
  Max Value: 2.604569, Column: SRR9695021  Second Max Value: 0.198016, Column: SRR9695020
  Max Value: 2.461334, Column: SRR9695022  Second Max Value: 1.057475, Column: SRR9695021
  Max Value: 3.741133, Column: SRR9695022  Second Max Value: 2.741273, Column: SRR13108334
  Max Value: 3.475429, Column: SRR9695021  Second Max Value: 0.000000, Column: ERR2074043
  Max Value: 3.178245, Column: SRR9695022  Second Max Value: 0.228342, Column: SRR9695021
  Max Value: 1.444001, Column: SRR9695021  Second Max Value: 0.000000, Column: ERR2074043
  Max Value: 5.676611, Column: ERR2077449  Second Max Value: 0.341261, Column: SRR13108333
  Max Value: 3.295284, Column: ERR2077449  Second Max Value: 0.437630, Column: SRR13108334
  Max Value: 69.759422, Column: SRR8258959  Second Max Value: 1.938112, Column: SRR13108334
  Max Value: 95.101593, Column: SRR8258959  Second Max Value: 1.066372, Column: SRR9695022
  Max Value: 44.845657, Column: SRR8258959  Second Max Value: 0.447199, Column: SRR9695022
  Max Value: 45.077496, Column: SRR8258959  Second Max Value: 0.742975, Column: SRR9695022
  Max Value: 19.499113, Column: SRR8258959  Second Max Value: 1.844514, Column: SRR9695022
  Max Value: 26.675653, Column: SRR8258959  Second Max Value: 4.084116, Column: SRR9695022
  Max Value: 15.608286, Column: SRR8258959  Second Max Value: 2.285611, Column: SRR9695021
